Standard_Work,Book,Chapter,Verse,Citations,Text,Chapter_Verse_Count
Doctrine and Covenants,Doctrine and Covenants,14,7,33,"And, if you keep my commandments and endure to the end you shall have eternal life, which gift is the greatest of all the gifts of God.",11
Book of Mormon,Mosiah,18,8,32,"And it came to pass that he said unto them: Behold, here are the waters of Mormon (for thus were they called) and now, as ye are desirous to come into the fold of God, and to be called his people, and are willing to bear one another’s burdens, that they may be light;",35
Book of Mormon,2 Nephi,31,21,32,"And now, behold, my beloved brethren, this is the way; and there is none other way nor name given under heaven whereby man can be saved in the kingdom of God. And now, behold, this is the doctrine of Christ, and the only and true doctrine of the Father, and of the Son, and of the Holy Ghost, which is one God, without end. Amen.",21
Book of Mormon,Moroni,10,4,31,"And when ye shall receive these things, I would exhort you that ye would ask God, the Eternal Father, in the name of Christ, if these things are not true; and if ye shall ask with a sincere heart, with real intent, having faith in Christ, he will manifest the truth of it unto you, by the power of the Holy Ghost.",34
New Testament,John,16,33,31,"These things I have spoken unto you, that in me ye might have peace. In the world ye shall have tribulation: but be of good cheer; I have overcome the world.",33
Book of Mormon,Moroni,10,5,31,And by the power of the Holy Ghost ye may know the truth of all things.,34
Doctrine and Covenants,Doctrine and Covenants,19,18,30,"Which suffering caused myself, even God, the greatest of all, to tremble because of pain, and to bleed at every pore, and to suffer both body and spirit—and would that I might not drink the bitter cup, and shrink—",41
Book of Mormon,2 Nephi,32,3,29,"Angels speak by the power of the Holy Ghost; wherefore, they speak the words of Christ. Wherefore, I said unto you, feast upon the words of Christ; for behold, the words of Christ will tell you all things what ye should do.",9
Book of Mormon,2 Nephi,2,25,29,"Adam fell that men might be; and men are, that they might have joy.",30
Doctrine and Covenants,Doctrine and Covenants,110,16,29,"Therefore, the keys of this dispensation are committed into your hands; and by this ye may know that the great and dreadful day of the Lord is near, even at the doors.",16
Book of Mormon,3 Nephi,27,14,28,"And my Father sent me that I might be lifted up upon the cross; and after that I had been lifted up upon the cross, that I might draw all men unto me, that as I have been lifted up by men even so should men be lifted up by the Father, to stand before me, to be judged of their works, whether they be good or whether they be evil—",33
Book of Mormon,Helaman,5,12,28,"And now, my sons, remember, remember that it is upon the rock of our Redeemer, who is Christ, the Son of God, that ye must build your foundation; that when the devil shall send forth his mighty winds, yea, his shafts in the whirlwind, yea, when all his hail and his mighty storm shall beat upon you, it shall have no power over you to drag you down to the gulf of misery and endless wo, because of the rock upon which ye are built, which is a sure foundation, a foundation whereon if men build they cannot fall.",52
Doctrine and Covenants,Doctrine and Covenants,110,15,28,"To turn the hearts of the fathers to the children, and the children to the fathers, lest the whole earth be smitten with a curse—",16
Doctrine and Covenants,Doctrine and Covenants,110,14,28,"Behold, the time has fully come, which was spoken of by the mouth of Malachi—testifying that he [Elijah] should be sent, before the great and dreadful day of the Lord come—",16
Book of Mormon,2 Nephi,31,13,28,"Wherefore, my beloved brethren, I know that if ye shall follow the Son, with full purpose of heart, acting no hypocrisy and no deception before God, but with real intent, repenting of your sins, witnessing unto the Father that ye are willing to take upon you the name of Christ, by baptism—yea, by following your Lord and your Savior down into the water, according to his word, behold, then shall ye receive the Holy Ghost; yea, then cometh the baptism of fire and of the Holy Ghost; and then can ye speak with the tongue of angels, and shout praises unto the Holy One of Israel.",21
Book of Mormon,2 Nephi,31,18,28,"And then are ye in this strait and narrow path which leads to eternal life; yea, ye have entered in by the gate; ye have done according to the commandments of the Father and the Son; and ye have received the Holy Ghost, which witnesses of the Father and the Son, unto the fulfilling of the promise which he hath made, that if ye entered in by the way ye should receive.",21
Book of Mormon,2 Nephi,31,17,28,"Wherefore, do the things which I have told you I have seen that your Lord and your Redeemer should do; for, for this cause have they been shown unto me, that ye might know the gate by which ye should enter. For the gate by which ye should enter is repentance and baptism by water; and then cometh a remission of your sins by fire and by the Holy Ghost.",21
Book of Mormon,Ether,12,27,28,"And if men come unto me I will show unto them their weakness. I give unto men weakness that they may be humble; and my grace is sufficient for all men that humble themselves before me; for if they humble themselves before me, and have faith in me, then will I make weak things become strong unto them.",41
Book of Mormon,3 Nephi,11,11,28,"And behold, I am the light and the life of the world; and I have drunk out of that bitter cup which the Father hath given me, and have glorified the Father in taking upon me the sins of the world, in the which I have suffered the will of the Father in all things from the beginning.",41
Book of Mormon,Alma,5,14,28,"And now behold, I ask of you, my brethren of the church, have ye spiritually been born of God? Have ye received his image in your countenances? Have ye experienced this mighty change in your hearts?",62
Book of Mormon,3 Nephi,11,29,27,"For verily, verily I say unto you, he that hath the spirit of contention is not of me, but is of the devil, who is the father of contention, and he stirreth up the hearts of men to contend with anger, one with another.",41
Book of Mormon,Mosiah,5,2,27,"And they all cried with one voice, saying: Yea, we believe all the words which thou hast spoken unto us; and also, we know of their surety and truth, because of the Spirit of the Lord Omnipotent, which has wrought a mighty change in us, or in our hearts, that we have no more disposition to do evil, but to do good continually.",15
Book of Mormon,2 Nephi,2,8,27,"Wherefore, how great the importance to make these things known unto the inhabitants of the earth, that they may know that there is no flesh that can dwell in the presence of God, save it be through the merits, and mercy, and grace of the Holy Messiah, who layeth down his life according to the flesh, and taketh it again by the power of the Spirit, that he may bring to pass the resurrection of the dead, being the first that should rise.",30
Doctrine and Covenants,Doctrine and Covenants,84,38,27,And he that receiveth my Father receiveth my Father’s kingdom; therefore all that my Father hath shall be given unto him.,120
Doctrine and Covenants,Doctrine and Covenants,110,13,26,"After this vision had closed, another great and glorious vision burst upon us; for Elijah the prophet, who was taken to heaven without tasting death, stood before us, and said:",16
Book of Mormon,Mosiah,24,14,26,"And I will also ease the burdens which are put upon your shoulders, that even you cannot feel them upon your backs, even while you are in bondage; and this will I do that ye may stand as witnesses for me hereafter, and that ye may know of a surety that I, the Lord God, do visit my people in their afflictions.",25
Old Testament,Proverbs,3,5,26,Trust in the Lord with all thine heart; and lean not unto thine own understanding.,35
New Testament,Matthew,22,36,26,"Master, which is the great commandment in the law?",46
Doctrine and Covenants,Doctrine and Covenants,110,11,25,"After this vision closed, the heavens were again opened unto us; and Moses appeared before us, and committed unto us the keys of the gathering of Israel from the four parts of the earth, and the leading of the ten tribes from the land of the north.",16
Book of Mormon,3 Nephi,27,20,25,"Now this is the commandment: Repent, all ye ends of the earth, and come unto me and be baptized in my name, that ye may be sanctified by the reception of the Holy Ghost, that ye may stand spotless before me at the last day.",33
Book of Mormon,Mosiah,2,17,25,"And behold, I tell you these things that ye may learn wisdom; that ye may learn that when ye are in the service of your fellow beings ye are only in the service of your God.",41
Book of Mormon,3 Nephi,11,32,25,"And this is my doctrine, and it is the doctrine which the Father hath given unto me; and I bear record of the Father, and the Father beareth record of me, and the Holy Ghost beareth record of the Father and me; and I bear record that the Father commandeth all men, everywhere, to repent and believe in me.",41
Book of Mormon,3 Nephi,11,38,24,"And again I say unto you, ye must repent, and be baptized in my name, and become as a little child, or ye can in nowise inherit the kingdom of God.",41
Book of Mormon,2 Nephi,28,30,24,"For behold, thus saith the Lord God: I will give unto the children of men line upon line, precept upon precept, here a little and there a little; and blessed are those who hearken unto my precepts, and lend an ear unto my counsel, for they shall learn wisdom; for unto him that receiveth I will give more; and from them that shall say, We have enough, from them shall be taken away even that which they have.",32
Book of Mormon,2 Nephi,2,27,24,"Wherefore, men are free according to the flesh; and all things are given them which are expedient unto man. And they are free to choose liberty and eternal life, through the great Mediator of all men, or to choose captivity and death, according to the captivity and power of the devil; for he seeketh that all men might be miserable like unto himself.",30
Book of Mormon,Alma,7,13,24,"Now the Spirit knoweth all things; nevertheless the Son of God suffereth according to the flesh that he might take upon him the sins of his people, that he might blot out their transgressions according to the power of his deliverance; and now behold, this is the testimony which is in me.",27
Book of Mormon,3 Nephi,11,33,24,"And whoso believeth in me, and is baptized, the same shall be saved; and they are they who shall inherit the kingdom of God.",41
New Testament,Matthew,22,40,23,On these two commandments hang all the law and the prophets.,46
Doctrine and Covenants,Doctrine and Covenants,122,7,23,"And if thou shouldst be cast into the pit, or into the hands of murderers, and the sentence of death passed upon thee; if thou be cast into the deep; if the billowing surge conspire against thee; if fierce winds become thine enemy; if the heavens gather blackness, and all the elements combine to hedge up the way; and above all, if the very jaws of hell shall gape open the mouth wide after thee, know thou, my son, that all these things shall give thee experience, and shall be for thy good.",9
New Testament,James,1,5,23,"If any of you lack wisdom, let him ask of God, that giveth to all men liberally, and upbraideth not; and it shall be given him.",27
New Testament,Matthew,25,40,23,"And the King shall answer and say unto them, Verily I say unto you, Inasmuch as ye have done it unto one of the least of these my brethren, ye have done it unto me.",46
Doctrine and Covenants,Doctrine and Covenants,1,38,23,"What I the Lord have spoken, I have spoken, and I excuse not myself; and though the heavens and the earth pass away, my word shall not pass away, but shall all be fulfilled, whether by mine own voice or by the voice of my servants, it is the same.",39
Book of Mormon,3 Nephi,27,19,23,"And no unclean thing can enter into his kingdom; therefore nothing entereth into his rest save it be those who have washed their garments in my blood, because of their faith, and the repentance of all their sins, and their faithfulness unto the end.",33
Book of Mormon,3 Nephi,11,36,23,"And thus will the Father bear record of me, and the Holy Ghost will bear record unto him of the Father and me; for the Father, and I, and the Holy Ghost are one.",41
Doctrine and Covenants,Doctrine and Covenants,20,79,23,"O God, the Eternal Father, we ask thee in the name of thy Son, Jesus Christ, to bless and sanctify this wine to the souls of all those who drink of it, that they may do it in remembrance of the blood of thy Son, which was shed for them; that they may witness unto thee, O God, the Eternal Father, that they do always remember him, that they may have his Spirit to be with them. Amen.",84
Doctrine and Covenants,Doctrine and Covenants,84,21,22,"And without the ordinances thereof, and the authority of the priesthood, the power of godliness is not manifest unto men in the flesh;",120
Pearl of Great Price,Abraham,3,25,22,"And we will prove them herewith, to see if they will do all things whatsoever the Lord their God shall command them;",28
Book of Mormon,3 Nephi,11,35,22,"Verily, verily, I say unto you, that this is my doctrine, and I bear record of it from the Father; and whoso believeth in me believeth in the Father also; and unto him will the Father bear record of me, for he will visit him with fire and with the Holy Ghost.",41
Book of Mormon,2 Nephi,31,7,22,"Know ye not that he was holy? But notwithstanding he being holy, he showeth unto the children of men that, according to the flesh he humbleth himself before the Father, and witnesseth unto the Father that he would be obedient unto him in keeping his commandments.",21
Book of Mormon,Moroni,10,33,22,"And again, if ye by the grace of God are perfect in Christ, and deny not his power, then are ye sanctified in Christ by the grace of God, through the shedding of the blood of Christ, which is in the covenant of the Father unto the remission of your sins, that ye become holy, without spot.",34
Book of Mormon,3 Nephi,11,39,22,"Verily, verily, I say unto you, that this is my doctrine, and whoso buildeth upon this buildeth upon my rock, and the gates of hell shall not prevail against them.",41
Doctrine and Covenants,Doctrine and Covenants,58,42,22,"Behold, he who has repented of his sins, the same is forgiven, and I, the Lord, remember them no more.",65
Book of Mormon,2 Nephi,25,26,22,"And we talk of Christ, we rejoice in Christ, we preach of Christ, we prophesy of Christ, and we write according to our prophecies, that our children may know to what source they may look for a remission of their sins.",30
Book of Mormon,1 Nephi,3,7,22,"And it came to pass that I, Nephi, said unto my father: I will go and do the things which the Lord hath commanded, for I know that the Lord giveth no commandments unto the children of men, save he shall prepare a way for them that they may accomplish the thing which he commandeth them.",31
Book of Mormon,2 Nephi,31,12,22,"And also, the voice of the Son came unto me, saying: He that is baptized in my name, to him will the Father give the Holy Ghost, like unto me; wherefore, follow me, and do the things which ye have seen me do.",21
Book of Mormon,3 Nephi,27,15,22,"And for this cause have I been lifted up; therefore, according to the power of the Father I will draw all men unto me, that they may be judged according to their works.",33
Book of Mormon,Alma,5,26,22,"And now behold, I say unto you, my brethren, if ye have experienced a change of heart, and if ye have felt to sing the song of redeeming love, I would ask, can ye feel so now?",62
Book of Mormon,3 Nephi,27,27,22,"And know ye that ye shall be judges of this people, according to the judgment which I shall give unto you, which shall be just. Therefore, what manner of men ought ye to be? Verily I say unto you, even as I am.",33
Book of Mormon,3 Nephi,11,37,22,"And again I say unto you, ye must repent, and become as a little child, and be baptized in my name, or ye can in nowise receive these things.",41
New Testament,John,13,34,21,"A new commandment I give unto you, That ye love one another; as I have loved you, that ye also love one another.",38
Book of Mormon,3 Nephi,11,34,21,"And whoso believeth not in me, and is not baptized, shall be damned.",41
Doctrine and Covenants,Doctrine and Covenants,110,12,21,"After this, Elias appeared, and committed the dispensation of the gospel of Abraham, saying that in us and our seed all generations after us should be blessed.",16
Book of Mormon,3 Nephi,11,7,21,"Behold my Beloved Son, in whom I am well pleased, in whom I have glorified my name—hear ye him.",41
Book of Mormon,2 Nephi,2,2,21,"Nevertheless, Jacob, my firstborn in the wilderness, thou knowest the greatness of God; and he shall consecrate thine afflictions for thy gain.",30
Book of Mormon,2 Nephi,31,14,21,"But, behold, my beloved brethren, thus came the voice of the Son unto me, saying: After ye have repented of your sins, and witnessed unto the Father that ye are willing to keep my commandments, by the baptism of water, and have received the baptism of fire and of the Holy Ghost, and can speak with a new tongue, yea, even with the tongue of angels, and after this should deny me, it would have been better for you that ye had not known me.",21
New Testament,John,14,15,21,"If ye love me, keep my commandments.",31
Doctrine and Covenants,Doctrine and Covenants,20,37,21,"And again, by way of commandment to the church concerning the manner of baptism—All those who humble themselves before God, and desire to be baptized, and come forth with broken hearts and contrite spirits, and witness before the church that they have truly repented of all their sins, and are willing to take upon them the name of Jesus Christ, having a determination to serve him to the end, and truly manifest by their works that they have received of the Spirit of Christ unto the remission of their sins, shall be received by baptism into his church.",84
New Testament,John,14,26,21,"But the Comforter, which is the Holy Ghost, whom the Father will send in my name, he shall teach you all things, and bring all things to your remembrance, whatsoever I have said unto you.",31
Pearl of Great Price,Moses,1,6,21,"And I have a work for thee, Moses, my son; and thou art in the similitude of mine Only Begotten; and mine Only Begotten is and shall be the Savior, for he is full of grace and truth; but there is no God beside me, and all things are present with me, for I know them all.",42
Doctrine and Covenants,Doctrine and Covenants,109,22,21,"And we ask thee, Holy Father, that thy servants may go forth from this house armed with thy power, and that thy name may be upon them, and thy glory be round about them, and thine angels have charge over them;",80
Book of Mormon,Moroni,6,4,21,"And after they had been received unto baptism, and were wrought upon and cleansed by the power of the Holy Ghost, they were numbered among the people of the church of Christ; and their names were taken, that they might be remembered and nourished by the good word of God, to keep them in the right way, to keep them continually watchful unto prayer, relying alone upon the merits of Christ, who was the author and the finisher of their faith.",9
Book of Mormon,3 Nephi,11,14,21,"Arise and come forth unto me, that ye may thrust your hands into my side, and also that ye may feel the prints of the nails in my hands and in my feet, that ye may know that I am the God of Israel, and the God of the whole earth, and have been slain for the sins of the world.",41
Book of Mormon,3 Nephi,11,10,21,"Behold, I am Jesus Christ, whom the prophets testified shall come into the world.",41
Book of Mormon,3 Nephi,11,15,20,"And it came to pass that the multitude went forth, and thrust their hands into his side, and did feel the prints of the nails in his hands and in his feet; and this they did do, going forth one by one until they had all gone forth, and did see with their eyes and did feel with their hands, and did know of a surety and did bear record, that it was he, of whom it was written by the prophets, that should come.",41
Book of Mormon,3 Nephi,11,30,20,"Behold, this is not my doctrine, to stir up the hearts of men with anger, one against another; but this is my doctrine, that such things should be done away.",41
Book of Mormon,3 Nephi,11,31,20,"Behold, verily, verily, I say unto you, I will declare unto you my doctrine.",41
Book of Mormon,Alma,42,8,20,"Now behold, it was not expedient that man should be reclaimed from this temporal death, for that would destroy the great plan of happiness.",31
Book of Mormon,2 Nephi,31,6,20,"And now, I would ask of you, my beloved brethren, wherein the Lamb of God did fulfil all righteousness in being baptized by water?",21
Doctrine and Covenants,Doctrine and Covenants,121,7,20,"My son, peace be unto thy soul; thine adversity and thine afflictions shall be but a small moment;",46
Book of Mormon,Mosiah,24,15,20,"And now it came to pass that the burdens which were laid upon Alma and his brethren were made light; yea, the Lord did strengthen them that they could bear up their burdens with ease, and they did submit cheerfully and with patience to all the will of the Lord.",25
Book of Mormon,2 Nephi,25,23,20,"For we labor diligently to write, to persuade our children, and also our brethren, to believe in Christ, and to be reconciled to God; for we know that it is by grace that we are saved, after all we can do.",30
Doctrine and Covenants,Doctrine and Covenants,110,3,20,"His eyes were as a flame of fire; the hair of his head was white like the pure snow; his countenance shone above the brightness of the sun; and his voice was as the sound of the rushing of great waters, even the voice of Jehovah, saying:",16
Doctrine and Covenants,Doctrine and Covenants,84,19,20,"And this greater priesthood administereth the gospel and holdeth the key of the mysteries of the kingdom, even the key of the knowledge of God.",120
Book of Mormon,3 Nephi,9,20,20,"And ye shall offer for a sacrifice unto me a broken heart and a contrite spirit. And whoso cometh unto me with a broken heart and a contrite spirit, him will I baptize with fire and with the Holy Ghost, even as the Lamanites, because of their faith in me at the time of their conversion, were baptized with fire and with the Holy Ghost, and they knew it not.",22
Book of Mormon,2 Nephi,31,16,20,"And now, my beloved brethren, I know by this that unless a man shall endure to the end, in following the example of the Son of the living God, he cannot be saved.",21
Book of Mormon,2 Nephi,31,15,20,"And I heard a voice from the Father, saying: Yea, the words of my Beloved are true and faithful. He that endureth to the end, the same shall be saved.",21
Book of Mormon,Alma,32,41,20,"But if ye will nourish the word, yea, nourish the tree as it beginneth to grow, by your faith with great diligence, and with patience, looking forward to the fruit thereof, it shall take root; and behold it shall be a tree springing up unto everlasting life.",43
Book of Mormon,2 Nephi,31,10,20,"And he said unto the children of men: Follow thou me. Wherefore, my beloved brethren, can we follow Jesus save we shall be willing to keep the commandments of the Father?",21
New Testament,2 Corinthians,5,17,20,"Therefore if any man be in Christ, he is a new creature: old things are passed away; behold, all things are become new.",21
Book of Mormon,Mosiah,18,10,19,"Now I say unto you, if this be the desire of your hearts, what have you against being baptized in the name of the Lord, as a witness before him that ye have entered into a covenant with him, that ye will serve him and keep his commandments, that he may pour out his Spirit more abundantly upon you?",35
Doctrine and Covenants,Doctrine and Covenants,121,41,19,"No power or influence can or ought to be maintained by virtue of the priesthood, only by persuasion, by long-suffering, by gentleness and meekness, and by love unfeigned;",46
New Testament,Romans,8,17,19,"And if children, then heirs; heirs of God, and joint-heirs with Christ; if so be that we suffer with him, that we may be also glorified together.",39
Doctrine and Covenants,Doctrine and Covenants,84,88,19,"And whoso receiveth you, there I will be also, for I will go before your face. I will be on your right hand and on your left, and my Spirit shall be in your hearts, and mine angels round about you, to bear you up.",120
New Testament,Romans,8,16,19,"The Spirit itself beareth witness with our spirit, that we are the children of God:",39
Old Testament,Proverbs,3,6,19,"In all thy ways acknowledge him, and he shall direct thy paths.",35
Doctrine and Covenants,Doctrine and Covenants,110,4,19,"I am the first and the last; I am he who liveth, I am he who was slain; I am your advocate with the Father.",16
Book of Mormon,Alma,36,18,19,"Now, as my mind caught hold upon this thought, I cried within my heart: O Jesus, thou Son of God, have mercy on me, who am in the gall of bitterness, and am encircled about by the everlasting chains of death.",30
New Testament,Matthew,25,21,19,"His lord said unto him, Well done, thou good and faithful servant: thou hast been faithful over a few things, I will make thee ruler over many things: enter thou into the joy of thy lord.",46
New Testament,Luke,15,20,19,"And he arose, and came to his father. But when he was yet a great way off, his father saw him, and had compassion, and ran, and fell on his neck, and kissed him.",32
Book of Mormon,2 Nephi,31,5,19,"And now, if the Lamb of God, he being holy, should have need to be baptized by water, to fulfil all righteousness, O then, how much more need have we, being unholy, to be baptized, yea, even by water!",21
Doctrine and Covenants,Doctrine and Covenants,110,7,18,"For behold, I have accepted this house, and my name shall be here; and I will manifest myself to my people in mercy in this house.",16
Book of Mormon,Moroni,7,16,18,"For behold, the Spirit of Christ is given to every man, that he may know good from evil; wherefore, I show unto you the way to judge; for every thing which inviteth to do good, and to persuade to believe in Christ, is sent forth by the power and gift of Christ; wherefore ye may know with a perfect knowledge it is of God.",48
Book of Mormon,2 Nephi,31,11,18,"And the Father said: Repent ye, repent ye, and be baptized in the name of my Beloved Son.",21
Book of Mormon,Alma,32,27,18,"But behold, if ye will awake and arouse your faculties, even to an experiment upon my words, and exercise a particle of faith, yea, even if ye can no more than desire to believe, let this desire work in you, even until ye believe in a manner that ye can give place for a portion of my words.",43
Book of Mormon,2 Nephi,31,9,18,"And again, it showeth unto the children of men the straitness of the path, and the narrowness of the gate, by which they should enter, he having set the example before them.",21
Pearl of Great Price,Abraham,3,27,18,"And the Lord said: Whom shall I send? And one answered like unto the Son of Man: Here am I, send me. And another answered and said: Here am I, send me. And the Lord said: I will send the first.",28
Doctrine and Covenants,Doctrine and Covenants,64,33,18,"Wherefore, be not weary in well-doing, for ye are laying the foundation of a great work. And out of small things proceedeth that which is great.",43
Book of Mormon,3 Nephi,9,14,18,"Yea, verily I say unto you, if ye will come unto me ye shall have eternal life. Behold, mine arm of mercy is extended towards you, and whosoever will come, him will I receive; and blessed are those who come unto me.",22
Doctrine and Covenants,Doctrine and Covenants,59,23,18,"But learn that he who doeth the works of righteousness shall receive his reward, even peace in this world, and eternal life in the world to come.",24
New Testament,John,17,21,18,"That they all may be one; as thou, Father, art in me, and I in thee, that they also may be one in us: that the world may believe that thou hast sent me.",26
Book of Mormon,3 Nephi,11,28,18,"And according as I have commanded you thus shall ye baptize. And there shall be no disputations among you, as there have hitherto been; neither shall there be disputations among you concerning the points of my doctrine, as there have hitherto been.",41
Book of Mormon,3 Nephi,11,17,18,"Hosanna! Blessed be the name of the Most High God! And they did fall down at the feet of Jesus, and did worship him.",41
Book of Mormon,2 Nephi,2,11,18,"For it must needs be, that there is an opposition in all things. If not so, my firstborn in the wilderness, righteousness could not be brought to pass, neither wickedness, neither holiness nor misery, neither good nor bad. Wherefore, all things must needs be a compound in one; wherefore, if it should be one body it must needs remain as dead, having no life neither death, nor corruption nor incorruption, happiness nor misery, neither sense nor insensibility.",30
New Testament,John,17,3,18,"And this is life eternal, that they might know thee the only true God, and Jesus Christ, whom thou hast sent.",26
Book of Mormon,3 Nephi,27,13,18,"Behold I have given unto you my gospel, and this is the gospel which I have given unto you—that I came into the world to do the will of my Father, because my Father sent me.",33
Book of Mormon,2 Nephi,31,3,18,"For my soul delighteth in plainness; for after this manner doth the Lord God work among the children of men. For the Lord God giveth light unto the understanding; for he speaketh unto men according to their language, unto their understanding.",21
Doctrine and Covenants,Doctrine and Covenants,19,19,18,"Nevertheless, glory be to the Father, and I partook and finished my preparations unto the children of men.",41
Book of Mormon,Alma,37,6,18,"Now ye may suppose that this is foolishness in me; but behold I say unto you, that by small and simple things are great things brought to pass; and small means in many instances doth confound the wise.",47
Doctrine and Covenants,Doctrine and Covenants,121,45,18,"Let thy bowels also be full of charity towards all men, and to the household of faith, and let virtue garnish thy thoughts unceasingly; then shall thy confidence wax strong in the presence of God; and the doctrine of the priesthood shall distil upon thy soul as the dews from heaven.",46
New Testament,Luke,15,4,18,"What man of you, having an hundred sheep, if he lose one of them, doth not leave the ninety and nine in the wilderness, and go after that which is lost, until he find it?",32
Doctrine and Covenants,Doctrine and Covenants,110,2,18,"We saw the Lord standing upon the breastwork of the pulpit, before us; and under his feet was a paved work of pure gold, in color like amber.",16
New Testament,John,14,27,18,"Peace I leave with you, my peace I give unto you: not as the world giveth, give I unto you. Let not your heart be troubled, neither let it be afraid.",31
Book of Mormon,3 Nephi,27,16,18,"And it shall come to pass, that whoso repenteth and is baptized in my name shall be filled; and if he endureth to the end, behold, him will I hold guiltless before my Father at that day when I shall stand to judge the world.",33
Book of Mormon,Alma,34,32,17,"For behold, this life is the time for men to prepare to meet God; yea, behold the day of this life is the day for men to perform their labors.",41
